"Ticker","Nome","Negócios","Última (R$)","Variação"
"VITT3","Vittia","466.000","6,29","+3,97%"
"CAML3","Camil Alimentos","463.100","9,69","+2,54%"
"WIZC3","Wiz Soluções","452.700","6,15","+1,49%"
"ESPA3","Espaçolaser","434.500","1,03","+3,00%"
"TUPY3","Tupy","422.100","27,62","+2,37%"
"AERI3","Aeris Energy","404.200","9,37","-2,40%"
"CSED3","Cruzeiro do Sul Educacional","403.700","4,05","+2,53%"
"KRSA3","Kora Saúde","393.600","0,59","+0,00%"
"PRNR3","Priner","385.300","12,17","+1,76%"
"RCSL3","Recrusul","382.300","2,94","+5,00%"
"AMAR3","Lojas Marisa","361.600","1,25","-0,79%"
"JALL3","Jalles Machado","345.200","6,94","+2,97%"
"LAVV3","Lavvi Incorporadora","342.400","8,67","+1,40%"
"SHUL4","Schulz","331.500","6,56","+0,31%"
"FRAS3","Fras-le","328.500","18,58","+1,42%"
"TASA4","Taurus","305.100","11,02","+0,46%"
"OPCT3","OceanPact","304.400","6,59","-0,75%"
"MATD3","Mater Dei","296.600","4,55","+3,17%"
"LOGG3","LOG CP","292.500","23,97","+0,67%"
"KLBN3","Klabin","283.700","4,27","+1,43%"
"RNEW4","Renova Energia","277.100","0,99","+0,00%"
"PINE4","Banco Pine","277.000","4,61","+2,22%"
"TRAD3","Traders Club","269.900","4,47","-0,67%"
"MDNE3","Moura Dubeux","264.800","14,73","+0,27%"
"SANB3","Banco Santander","256.400","14,43","+1,19%"
"BLAU3","Blau Farmacêutica","248.800","12,63","+8,13%"
"PFRM3","Profarma","240.500","5,85","+0,00%"
"DESK3","Desktop","236.500","15,64","-3,64%"
"EALT4","Electro Aço Altona","218.400","13,31","-11,27%"
"AGXY3","AgroGalaxy","218.100","1,30","+0,00%"
"BMOB3","Bemobi","199.600","15,93","+1,14%"
"LPSB3","Lopes","195.200","1,82","+4,00%"
"ALPK3","Estapar","194.500","3,86","-1,28%"
"PMAM3","Paranapanema","183.000","2,01","-2,43%"
"POMO3","Marcopolo","179.800","5,41","+1,50%"
"BIOM3","Biomm","179.600","8,00","-3,38%"
"AGRO3","BrasilAgro","178.300","26,13","+0,69%"
"DEXP3","Dexxos","177.000","9,56","-0,42%"
"RCSL4","Recrusul","174.500","0,80","-1,23%"
"SHOW3","Time For Fun","172.300","1,24","+0,81%"
"TAEE4","Taesa","172.100","11,79","+2,08%"
"SANB4","Banco Santander","171.400","16,24","+2,59%"
"LUPA3","Lupatech","165.900","1,54","-0,65%"
"HBRE3","HBR Realty","160.700","5,33","+3,29%"
"CMIG3","CEMIG","159.000","13,94","+1,38%"
"BRAP3","Bradespar","153.800","17,61","+0,46%"
"SAPR3","Sanepar","147.300","5,48","+1,67%"
"ROMI3","Indústrias ROMI","146.700","11,00","+1,38%"
"UNIP6","Unipar","141.400","49,85","+2,72%"
"TAEE3","Taesa","119.700","11,74","+2,09%"
"TCSA3","Tecnisa","114.800","2,07","+5,08%"
"TECN3","Technos","110.100","5,91","-1,34%"
"INEP4","Inepar","108.500","1,99","-8,72%"
"ATMP3","Atma","108.000","1,45","-3,33%"
"RAPT3","Randon","107.800","8,92","+0,56%"
"GGBR3","Gerdau","105.300","15,74","+1,48%"
"RNEW3","Renova Energia","97.800","1,00","+2,04%"
"TGMA3","Tegma","80.500","25,78","+3,12%"
"VIVR3","Viver","74.000","2,57","+2,80%"
"RSID3","Rossi Residencial","73.700","3,94","+1,29%"
"AALR3","Alliança","72.600","13,51","+8,08%"
"PDTC3","Padtec","69.600","1,87","+1,63%"
"INEP3","Inepar","67.400","1,98","-7,04%"
"HAGA4","Haga","56.100","1,16","+0,87%"
"BOBR4","Bombril","55.800","2,15","-0,46%"
"ALLD3","Allied","55.100","7,58","+1,47%"
"DMVF3","D1000 Varejo Farma","51.900","7,34","-1,21%"
"ELMD3","Eletromidia","50.900","18,83","-1,36%"
"VSTE3","LE LIS BLANC","42.400","13,50","+1,89%"
"EUCA4","Eucatex","41.500","15,85","+2,13%"
"TPIS3","Triunfo","40.400","4,22","-0,24%"
"WEST3","Westwing","38.800","0,92","+2,22%"
"IGTI3","Iguatemi","38.100","2,91","+0,69%"
"IGTI3","Jereissati Participações","38.100","2,91","+0,69%"
"LAND3","Terra Santa","35.500","12,13","+0,66%"
"DOTZ3","Dotz","29.800","8,39","+10,25%"
"CAMB3","Cambuci","27.800","12,58","+2,28%"
"VTRU3","VITRUBREPCOM","27.800","11,39","+2,52%"
"TASA3","Taurus","27.700","11,01","-0,27%"
"RPMG3","Refinaria de Manguinhos","25.900","2,75","+0,73%"
"GOAU3","Metalúrgica Gerdau","25.400","10,47","+1,36%"
"UCAS3","Unicasa","22.800","2,27","-0,87%"
"LVTC3","WDC Networks","22.200","3,99","+3,37%"
"BMEB4","Banco Mercantil do Brasil","21.900","36,70","+0,16%"
"ENGI4","Energisa","21.500","8,63","+2,13%"
"CSUD3","CSU Cardsystem","21.300","18,84","+1,73%"
"ALUP4","Alupar","21.300","10,44","+1,26%"
"ATOM3","ATOM","20.300","2,10","+0,96%"
"BPAC3","Banco BTG Pactual","17.900","17,00","+0,53%"
"MGEL4","Mangels","17.200","11,50","-0,95%"
"BRKM3","Braskem","16.200","17,50","-1,13%"
"SCAR3","São Carlos","16.100","23,62","-1,13%"
"BGIP4","Banese","15.400","26,89","+2,24%"
"SNSY5","Sansuy","15.000","5,67","-0,87%"
"WHRL4","Whirlpool","13.700","4,55","+2,02%"
"OIBR4","Oi","13.000","12,12","-2,26%"
"DEXP4","Dexxos","12.400","9,28","+0,87%"
"BRSR3","Banrisul","12.100","13,34","+0,68%"
"ALUP3","Alupar","11.200","10,88","+1,30%"
"AVLL3","Alphaville","11.200","4,10","-1,44%"
"UNIP3","Unipar","10.800","48,50","+1,02%"
"ENGI3","Energisa","10.600","15,12","+0,80%"
"CTSA4","Santanense","10.600","1,34","+0,75%"
"CGRA4","Grazziotin","10.100","25,45","-1,55%"
"BEES3","Banestes","9.500","9,08","+0,55%"
"MTSA4","Metisa","9.300","40,85","-3,08%"
"EQPA3","Equatorial Energia Pará","9.000","6,92","-0,86%"
"PTNT4","Pettenati","8.800","6,06","+0,50%"
"NINJ3","GetNinjas","8.600","4,57","-1,08%"
"AMAR11","AMAR11","8.600","0,71","+0,00%"
"FHER3","Fertilizantes Heringer","7.900","4,22","+0,00%"
"NEXP3","Brasil Brokers","7.500","4,11","-1,67%"
"OSXB3","OSX Brasil","6.500","3,86","+3,76%"
"EPAR3","Embpar Participações","6.300","5,90","+0,00%"
"LOGN3","Log-In","5.600","36,08","-0,55%"
"SNSY3","Sansuy","4.700","12,39","+1,23%"
"RDNI3","RNI","4.700","3,15","+0,32%"
"OFSA3","Ourofino Saúde Animal","4.600","22,50","+2,27%"
"PSVM11","PSVM11","4.500","5,33","-20,45%"
"NUTR3","Nutriplant","4.500","4,90","-2,20%"
"ENMT3","Energisa MT","4.400","83,69","-0,01%"
"CRPG5","Tronox Pigmentos","4.300","28,70","-0,35%"
"AZEV11","Azevedo & Travassos","4.200","0,48","-5,88%"
"EALT3","Electro Aço Altona","4.000","14,00","-6,67%"
"PLAS3","Plascar","4.000","5,55","+4,91%"
"CEBR6","CEB","3.700","17,75","+0,28%"
"TRPL3","Transmissão Paulista","3.400","31,94","-0,25%"
