,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
180,MWET4,650,-279,-129,0048,"0,00%",47,-055,-213,-007,-1430,-4633,"-2,25%","-1,72%",82,"-2,45%","46,11%","18.444,00","-10.384.000,00",-744,"16,73%"
181,CTSA3,490,-277,059,1265,"0,00%",216,264,-233,-065,-534,-656,"-54,35%","-45,69%",137,"-10,65%","-21,36%","460.502,00","230.512.000,00",091,"-24,78%"
182,BRKM6,1551,-262,246,0170,"0,00%",134,094,-407,-025,-1192,1635,"-4,17%","-6,89%",154,"-5,06%","-93,87%","2.199,07","5.022.600.000,00",847,"13,67%"
183,LIXC3,175,-262,152,395995,"0,00%",69,028,-421,384,-637,-668,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
184,MBLY3,197,-260,043,0365,"0,00%",269,076,-253,148,-304,-1947,"-14,43%","-14,07%",276,"-14,28%","-16,44%","4.805.240,00","491.793.000,00",037,"-10,26%"
185,BAHI3,768,-250,470,0537,"0,00%",325,-086,-1530,-038,-2879,7626,"-3,51%","-22,11%",13,"-2,19%","-188,32%","36.941,30","43.092.000,00",438,"63,05%"
186,BICB4,825,-243,221,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
187,WEST3,135,-242,055,0709,"0,00%",409,096,-170,111,-031,-042,"-41,75%","-29,31%",316,"-47,01%","-22,68%","271.134,00","272.425.000,00",007,"-16,69%"
188,BICB3,800,-235,214,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
189,AGXY3,340,-230,057,0056,"1,17%",74,254,132,-088,369,273,"4,25%","-2,34%",104,"11,13%","-24,61%","391.993,00","1.024.290.000,00",173,"34,89%"
