,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
189,IENG5,012,-065,079,1374,"0,00%",88,-093,310,-024,2433,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
190,ESTR4,3090,-064,-005,0185,"0,00%",106,-005,-1557,-004,3730,"-1,19%","-28,93%",20,"-0,76%","8,46%","5.149,65","-462.674.000,00",-012,"-6,63%"
191,GSHP3,084,-063,-126,0359,"365,44%",35,030,093,-004,1560,"38,53%","-57,23%",183,"4,74%","200,35%","135.699,00","-46.424.000,00",-2830,"-10,00%"
192,HOOT4,205,-060,-015,0677,"0,00%",79,-008,-128,-005,-210,"-53,11%","-113,21%",4,"-6,44%","25,14%","6.126,65","-250.296.000,00",-001,"-18,18%"
193,MNPR4,463,-059,-009,0151,"0,00%",163,-009,078,-007,063,"19,53%","-25,64%",13,"22,21%","15,71%",000,"-354.128.000,00",-000,"1,19%"
194,REEM4,463,-048,-008,0197,"0,00%",137,-014,-433,-007,-601,"-4,54%","-40,65%",45,"4,61%","15,78%",000,"-372.708.000,00",-000,"-13,59%"
195,TPIS3,131,-045,034,0235,"0,00%",62,-014,-634,-008,639,"-3,71%","-54,81%",12,"-1,03%","-75,48%","305.607,00","684.212.000,00",289,"-19,34%"
196,BDLL3,2401,-043,047,0518,"0,00%",47,-034,-080,-008,-662,"-65,01%","-119,48%",69,"-6,60%","-107,58%",37440,"82.368.000,00",265,"-39,47%"
197,ESTR3,2000,-041,-003,0119,"0,00%",69,-004,-1007,-003,3331,"-1,19%","-28,93%",20,"-0,76%","8,46%",000,"-462.674.000,00",-012,"-6,63%"
198,DOCA3,1100,-040,-003,-3064,"0,00%",30,-032,-026,-002,-676,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
199,JFEN3,152,-039,048,1619,"0,00%",91,033,-109,-198,-523,"-149,16%","-433,10%",152,"-8,78%","-120,90%","30.536,80","336.159.000,00",184,"-41,76%"
200,FGUI4,038,-039,-007,0507,"0,00%",798,-007,-183,-006,-1424,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
201,MEND6,1595,-039,-002,88880,"0,00%",172,-012,"-1.336,82",-001,"26.478,60","-6,65%","-22.921,30%",0,"-0,01%","3,90%","38.740,00","-10.872.100.000,00",-085,"-20,91%"
202,MEND5,1591,-039,-002,88657,"0,00%",172,-012,"-1.333,46",-001,"26.477,50","-6,65%","-22.921,30%",0,"-0,01%","3,90%","8.684,91","-10.872.100.000,00",-085,"-20,91%"
203,WISA4,025,-035,-001,0219,"0,00%",29,-006,-031,-001,-1927,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
204,PLAS3,642,-033,-042,0208,"0,00%",161,-036,-095,-014,-579,"-21,80%","-63,18%",32,"-18,57%","126,25%","18.645,30","-192.059.000,00",-095,"-5,87%"
205,LETO3,080,-032,-005,0000,"0,00%",96,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
206,CORR4,7000,-031,-038,0863,"0,00%",139,021,-031,-020,022,"-280,34%","-279,60%",2026,"-60,16%","123,45%",000,"-4.251.000,00",000,"-22,39%"
207,MWET3,700,-030,-007,0080,"0,00%",81,-013,-086,-004,-744,"-9,29%","-26,49%",28,"-11,27%","23,98%",14651,"-198.459.000,00",-039,"3,32%"
208,WISA3,020,-028,-001,0175,"0,00%",23,-005,-025,-001,-1921,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
209,VIVR3,142,-026,-071,-1669,"0,00%",119,-027,-072,-014,-355,"232,13%","644,12%",44,"-17,07%","273,28%","374.945,00","-92.585.000,00",-271,"-43,60%"
210,TENE7,980,-026,-002,0000,"0,00%",68,000,-102,000,198,"0,00%","0,00%",0,"0,00%","6,64%",000,"-69.256.000,00",000,"0,00%"
211,MWET4,548,-024,-006,0063,"0,00%",63,-010,-068,-003,-718,"-9,29%","-26,49%",28,"-11,27%","23,98%","26.919,90","-198.459.000,00",-039,"3,32%"
212,SLED3,272,-023,391,0102,"0,00%",77,125,-037,-012,-417,"-27,75%","-45,25%",124,"-23,52%","-1.737,18%","141.442,00","18.580.000,00",2497,"-19,25%"
213,FHER3,241,-022,-015,0102,"0,00%",77,-008,-095,-008,-1120,"-10,80%","-46,07%",34,"-26,90%","67,33%","937.263,00","-868.315.000,00",-121,"-28,99%"
214,AZEV3,521,-021,-013,0574,"0,00%",477,-018,-050,-011,-107,"-115,07%","-272,13%",13,"-192,46%","63,02%","39.875,70","-211.781.000,00",-014,"-41,36%"
215,MNDL4,038,-019,-001,0002,"0,00%",1,-000,003,-000,419,"6,28%","-1,04%",27,"3,12%","3,52%",000,"-142.268.000,00",-130,"3,95%"
216,DOCA4,500,-018,-001,-1393,"0,00%",14,-015,-012,-001,-662,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
217,DUQE4,295,-017,-119,1275,"0,00%",45,-008,-017,-006,-135,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
218,INEP4,743,-017,-004,1103,"0,00%",41,-003,-026,-002,-329,"-420,43%","-547,40%",13,"-16,79%","21,19%","96.630,30","-1.682.970.000,00",-038,"-47,49%"
219,INEP3,722,-016,-003,1072,"0,00%",40,-003,-025,-002,-328,"-420,43%","-547,40%",13,"-16,79%","21,19%","80.760,40","-1.682.970.000,00",-038,"-47,49%"
220,FTRX3,013,-015,-002,0206,"0,00%",23,-004,-019,-001,-227,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
221,MTIG3,521,-014,008,0010,"8,41%",12,-005,-512,-003,1545,"-0,19%","-7,00%",67,"-0,28%","-55,27%",000,"15.993.400,00",326,"1,79%"
222,RNEW3,387,-014,-019,0722,"0,00%",70,-007,-086,-005,-953,"-84,05%","-511,43%",1,"-9,45%","134,40%","42.515,20","-851.318.000,00",-176,"-5,16%"
223,RNEW11,1135,-014,-019,0706,"0,00%",68,-007,-084,-005,-951,"-84,05%","-511,43%",1,"-9,45%","134,40%","194.118,00","-851.318.000,00",-176,"-5,16%"
224,RNEW4,345,-013,-017,0643,"0,00%",62,-006,-077,-005,-943,"-84,05%","-511,43%",1,"-9,45%","134,40%","68.859,10","-851.318.000,00",-176,"-5,16%"
225,FTRX4,011,-013,-002,0174,"0,00%",19,-003,-016,-001,-224,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
226,RSID3,384,-012,-012,1306,"0,00%",30,-082,-050,-004,-1309,"-259,80%","-1.112,29%",92,"-6,62%","95,77%","278.056,00","-571.672.000,00",-281,"-52,45%"
227,RPMG4,026,-012,-001,0016,"0,00%",8,-001,-011,-001,-011,"-15,26%","-13,71%",47,"-8,21%","5,72%",000,"-2.618.490.000,00",000,"15,87%"
228,SNSY5,10730,-012,-002,0047,"0,00%",54,-012,-021,-001,-138,"-21,67%","-42,17%",53,"-29,33%","15,11%","6.678,16","-1.188.190.000,00",-008,"2,22%"
229,SLED4,136,-011,195,0051,"0,00%",39,063,-018,-006,-388,"-27,75%","-45,25%",124,"-23,52%","-1.737,18%","307.976,00","18.580.000,00",2497,"-19,25%"
230,BDLL4,622,-011,012,0134,"0,00%",12,-009,-021,-002,-588,"-65,01%","-119,48%",69,"-6,60%","-107,58%","43.682,90","82.368.000,00",265,"-39,47%"
231,FBMC4,196,-009,-002,0095,"0,00%",34,-004,-007,-002,-059,"-135,59%","-101,97%",31,"-64,70%","24,19%",000,"-63.552.000,00",-015,"-31,66%"
232,LIQO3,915,-009,-206,0025,"0,00%",17,-012,-011,-002,-341,"-22,20%","-28,80%",56,"-17,25%","2.325,01%","164.597,00","-12.449.000,00",-3954,"-24,70%"
233,AZEV4,202,-008,-005,0222,"0,00%",185,-007,-019,-004,-075,"-115,07%","-272,13%",13,"-192,46%","63,02%","54.581,10","-211.781.000,00",-014,"-41,36%"
234,VPTA4,1050,-007,-001,0260,"0,00%",54,-002,-013,-001,-689,"-193,57%","-396,38%",23,"-45,00%","10,11%",000,"-867.658.000,00",-034,"-58,91%"
235,MMXM3,155,-006,-001,4786,"0,00%",76,-001,-013,-001,-255,"-3.720,51%","-7.552,40%",4,"-91,78%","21,85%","46.207,30","-719.319.000,00",-027,"106,28%"
236,PDGR3,493,-005,-001,0309,"0,00%",19,-002,-549,-001,26201,"-5,63%","-575,12%",44,"-0,39%","16,23%","188.913,00","-4.576.270.000,00",-037,"-43,46%"
237,CORR3,1200,-005,-007,0148,"0,00%",24,004,-005,-003,047,"-280,34%","-279,60%",2026,"-60,16%","123,45%",000,"-4.251.000,00",000,"-22,39%"
238,VPSC4,999,-005,430,0029,"0,00%",33,-006,-013,-006,-020,"-22,82%","-55,90%",43,"-28,56%","-8.246,83%",000,"1.232.000,00",615,"-10,02%"
239,CESP4,1629,-005,000,0003,"0,00%",0,001,008,-000,321,"4,55%","-7,17%",218,"0,63%","-1,60%",000,"6.940.700.000,00",027,"-15,23%"
240,VAGV3,114,-005,-001,0014,"0,00%",37,-008,-027,-001,-890,"-5,08%","-29,29%",52,"-15,14%","20,73%",000,"-8.194.580.000,00",-031,"1,06%"
241,DHBI4,101,-004,-001,0046,"0,00%",18,-001,-020,-001,-5110,"-23,58%","-154,81%",12,"-10,50%","21,03%",000,"-456.340.000,00",-099,"-23,62%"
242,VAGV4,102,-004,-001,0012,"0,00%",33,-007,-024,-001,-887,"-5,08%","-29,29%",52,"-15,14%","20,73%",000,"-8.194.580.000,00",-031,"1,06%"
243,TEKA3,812,-004,-000,0027,"0,00%",4,-000,-029,-000,-5213,"-9,58%","-67,45%",2,"-2,31%","6,49%","11.566,80","-1.543.650.000,00",-030,"0,31%"
244,GAFP3,012,-004,-001,0372,"0,00%",15,-009,-048,-001,-4692,"-77,57%","-981,28%",51,"-3,21%","38,79%",000,"-80.712.500,00",-143,"-58,09%"
245,ARTE3,770,-004,-004,0000,"0,00%",103,000,-052,000,-1585,"0,00%","0,00%",0,"0,00%","102,90%",000,"-33.570.000,00",000,"-64,35%"
246,TEKA4,689,-003,-000,0023,"0,00%",4,-000,-024,-000,-5206,"-9,58%","-67,45%",2,"-2,31%","6,49%","174.135,00","-1.543.650.000,00",-030,"0,31%"
247,TROR3,263,-003,-001,0598,"0,00%",532,-001,-657,-001,-72892,"-9,11%","-1.745,52%",1,"-9,77%","21,14%",000,"-1.959.650.000,00",-080,"6,34%"
248,VPSC3,603,-003,259,0017,"0,00%",20,-003,-008,-004,-015,"-22,82%","-55,90%",43,"-28,56%","-8.246,83%",000,"1.232.000,00",615,"-10,02%"
249,VPTA3,500,-003,-000,0124,"0,00%",26,-001,-006,-000,-682,"-193,57%","-396,38%",23,"-45,00%","10,11%",000,"-867.658.000,00",-034,"-58,91%"
250,ARTE4,681,-003,-003,0000,"0,00%",91,000,-046,000,-1579,"0,00%","0,00%",0,"0,00%","102,90%",000,"-33.570.000,00",000,"-64,35%"
251,OSXB3,354,-003,-000,1015,"0,00%",4,-002,-023,-000,-27153,"-438,05%","-3.565,83%",3,"-1,64%","8,83%","47.629,20","-4.308.840.000,00",-098,"-68,26%"
252,RCTB33,5700,-003,008,0062,"0,00%",1,002,-007,-000,826,"-95,15%","-243,21%",162,"-1,30%","-324,83%",000,"34.044.000,00",808,"3,21%"
253,TROR4,156,-002,-000,0355,"0,00%",316,-000,-390,-000,-72624,"-9,11%","-1.745,52%",1,"-9,77%","21,14%",000,"-1.959.650.000,00",-080,"6,34%"
254,RCTB31,4100,-002,006,0045,"0,00%",1,002,-005,-000,822,"-95,15%","-243,21%",162,"-1,30%","-324,83%",000,"34.044.000,00",808,"3,21%"
255,GAFP4,005,-002,-001,0155,"0,00%",6,-004,-020,-000,-4665,"-77,57%","-981,28%",51,"-3,21%","38,79%",000,"-80.712.500,00",-143,"-58,09%"
256,MILK33,030,-002,-002,0077,"0,00%",29,-008,-004,-002,-012,"-176,80%","-508,08%",50,"-70,91%","165,12%",000,"-516.285.000,00",-004,"-42,04%"
257,RCTB41,3351,-002,005,0037,"0,00%",0,001,-004,-000,821,"-95,15%","-243,21%",162,"-1,30%","-324,83%",000,"34.044.000,00",808,"3,21%"
258,TENE5,050,-001,-000,0000,"0,00%",3,000,-005,000,064,"0,00%","0,00%",0,"0,00%","6,64%",000,"-69.256.000,00",000,"0,00%"
259,RCTB42,2000,-001,003,0022,"0,00%",0,001,-002,-000,818,"-95,15%","-243,21%",162,"-1,30%","-324,83%",000,"34.044.000,00",808,"3,21%"
260,CGOS4,1600,-000,000,0000,"0,00%",0,-000,-016,-000,-31385,"-0,20%","-10,48%",54,"-0,08%","-39,02%",000,"453.387.000,00",248,"8,97%"
261,CBMA3,001,-000,-000,0000,"0,00%",7,000,-080,000,"5.646,77","0,00%","0,00%",0,"0,00%","11,63%",000,"-10.534.100.000,00",000,"0,00%"
262,CBMA4,001,-000,-000,0000,"0,00%",7,000,-080,000,"5.646,77","0,00%","0,00%",0,"0,00%","11,63%",000,"-10.534.100.000,00",000,"0,00%"
263,OSAO4,898,-000,-000,0000,"0,00%",0,-000,-000,-000,-395,"-21,80%","-63,18%",32,"-18,57%","126,25%",000,"-192.059.000,00",-095,"-5,87%"
264,ABCB3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","11,74%",000,"3.956.290.000,00",000,"-14,28%"
265,AGEI3,780,000,125,0000,"0,00%",470,139,000,-1259,000,"0,00%","0,00%",245,"0,00%","0,00%",000,"1.878.210.000,00",101,"0,00%"
266,ALBA3,215,000,000,0000,"0,00%",0,000,000,000,-127,"9,50%","9,62%",183,"20,40%","19,77%",000,"354.860.000,00",003,"14,69%"
267,ARPS3,030,000,000,0000,"0,00%",0,000,000,000,-1408,"-4,92%","-11,59%",91,"-6,64%","20,34%",000,"-12.690.000,00",-124,"-17,53%"
268,ARPS4,000,000,000,0000,"0,00%",0,000,000,000,-1408,"-4,92%","-11,59%",91,"-6,64%","20,34%",000,"-12.690.000,00",-124,"-17,53%"
269,BBSE3,3445,000,000,0000,"8,51%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","101.030.000,00",000,000,"0,00%"
270,BBTG11,1501,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
271,BBTG13,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-20.621,70%",000,"46.000,00",000,"0,00%"
272,BERG3,3300,000,000,0000,"0,00%",0,000,000,000,-1049,"-8,60%","-32,60%",46,"-5,58%","-102,71%",000,"9.538.000,00",286,"-8,00%"
273,BMEF3,1100,000,416,0000,"0,00%",3482,1024,000,1130,000,"0,00%","0,00%",370,"0,00%","0,00%",000,"2.674.780.000,00",000,"0,00%"
274,BMGB11,3360,000,154,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","28.101.800,00","2.732.880.000,00",000,"0,00%"
275,BOBR3,000,000,000,0000,"0,00%",0,000,000,000,302,"6,27%","-6,47%",54,"14,83%","25,85%",000,"-279.734.000,00",-108,"-0,15%"
276,BOVH3,1571,000,616,0000,"0,00%",4874,690,000,691,000,"0,00%","0,00%",440,"0,00%","0,00%",000,"1.843.320.000,00",000,"0,00%"
277,BPAT33,2000,000,082,0000,"35,72%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"876.492.000,00",000,"0,00%"
278,BPNM3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,74%",000,"4.830.820.000,00",000,"12,67%"
279,BSGR3,"1.091,28",000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
280,CAMB3,000,000,000,0000,"0,00%",0,000,000,000,211,"9,88%","7,26%",109,"9,92%","23,24%",000,"70.840.000,00",095,"-7,11%"
281,CCHI3,002,000,-001,0000,"0,00%",77,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"-160.477.000,00",000,"20,36%"
282,CCHI4,002,000,-001,0000,"0,00%",77,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"-160.477.000,00",000,"20,36%"
283,CEAB3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
284,CMMA4,081,000,000,0000,"0,00%",0,000,000,000,003,"0,00%","0,00%",0,"0,00%","-1,92%",000,"-79.623.000,00",000,"0,00%"
285,CNTO3,2702,000,573,0000,"0,00%",1709,2471,000,-479,000,"0,00%","0,00%",125,"0,00%","0,00%","26.293.900,00","991.151.000,00",004,"0,00%"
286,CPFP4,4400,000,328,0000,"0,00%",561,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"711.776.000,00",000,"0,00%"
287,CSAB3,4990,000,000,0000,"3,63%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","1.421,86",000,000,"0,00%"
288,CSAB4,4351,000,000,0000,"4,58%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",92270,000,000,"0,00%"
289,CSPC3,124,000,000,0000,"0,00%",0,000,000,000,143,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
290,CSPC4,120,000,000,0000,"0,00%",0,000,000,000,143,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
291,CZRS3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","3,34%",000,"1.145.670.000,00",000,"14,44%"
292,DAYC3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,33%",000,"3.009.030.000,00",000,"8,15%"
293,DUFB11,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
294,ECIS3,21165,000,000,0000,"0,00%",0,000,000,000,153,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",038,"4,66%"
295,ECIS4,14500,000,000,0000,"0,00%",0,000,000,000,153,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",038,"4,66%"
296,ESTC4,000,000,000,0000,"0,00%",0,000,000,000,090,"22,56%","16,84%",244,"17,11%","18,93%",000,"3.192.040.000,00",060,"6,07%"
297,GALO3,000,000,000,0000,"0,00%",0,000,000,000,-000,"13,98%","-184,58%",0,"39,37%","7,62%",000,"-60.607.000,00",000,"-28,97%"
298,GALO4,025,000,000,0000,"0,00%",0,000,000,000,-000,"13,98%","-184,58%",0,"39,37%","7,62%",000,"-60.607.000,00",000,"-28,97%"
299,ICPI3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
300,ILLS4,10001,000,000,0000,"0,00%",0,000,000,000,073,"8,43%","-10,22%",50,"8,14%","36,09%",000,"-18.567.000,00",-022,"9,33%"
301,INHA3,000,000,000,0000,"0,00%",0,000,000,000,1869,"0,33%","-74,91%",145,"0,08%","-45,86%",000,"780.159.000,00",096,"-32,76%"
302,IRBR3,3713,000,000,0000,"2,66%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","180.411.000,00",000,000,"0,00%"
303,JFAB4,006,000,000,0000,"0,00%",0,000,000,000,-11233,"0,00%","0,00%",0,"0,00%","2,34%",000,"-10.183.000,00",000,"0,00%"
304,LATS3,2200,000,000,0000,"0,00%",0,000,000,000,127,"11,74%","1,30%",167,"11,63%","1,84%",000,"680.646.000,00",039,"15,37%"
305,LECO3,000,000,000,0000,"0,00%",0,000,000,000,-300,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
306,MLPA3,000,000,000,0000,"0,00%",0,000,000,000,-208,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
307,MMAQ3,000,000,000,0000,"0,00%",0,000,000,000,-4818,"-1,44%","5,14%",237,"-4,21%","14,38%",000,"142.767.000,00",006,"16,61%"
308,MSAN3,644,000,000,0000,"0,00%",0,000,000,000,021,"6,27%","2,42%",118,"11,78%","11,81%",000,"2.533.030.000,00",039,"101,35%"
309,MSAN4,644,000,000,0000,"0,00%",0,000,000,000,021,"6,27%","2,42%",118,"11,78%","11,81%",000,"2.533.030.000,00",039,"101,35%"
310,PINE3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-21,65%",000,"782.844.000,00",000,"119,52%"
311,PRBC3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","19,43%",000,"1.279.390.000,00",000,"11,73%"
312,PTIP3,2200,000,000,0000,"0,00%",0,000,000,000,362,"13,73%","7,55%",70,"23,13%","-121,74%",000,"-155.957.000,00",-902,"62,11%"
313,PTIP4,2515,000,000,0000,"0,00%",0,000,000,000,362,"13,73%","7,55%",70,"23,13%","-121,74%",000,"-155.957.000,00",-902,"62,11%"
314,REPA3,100,000,000,0000,"0,00%",0,000,000,000,454,"5,18%","1,22%",199,"4,05%","1,91%",000,"378.378.000,00",042,"1,09%"
315,REPA4,108,000,000,0000,"0,00%",0,000,000,000,454,"5,18%","1,22%",199,"4,05%","1,91%",000,"378.378.000,00",042,"1,09%"
316,SALM3,570,000,000,0000,"0,00%",0,000,000,000,110,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",080,"24,53%"
317,SALM4,590,000,000,0000,"0,00%",0,000,000,000,110,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",080,"24,53%"
318,SASG3,098,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
319,SEBB3,000,000,000,0000,"0,00%",0,000,000,000,-023,"9,24%","7,40%",244,"24,15%","23,01%",000,"145.783.000,00",001,"50,04%"
320,SEBB4,000,000,000,0000,"0,00%",0,000,000,000,-023,"9,24%","7,40%",244,"24,15%","23,01%",000,"145.783.000,00",001,"50,04%"
321,SFSA3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","6,25%",000,"739.524.000,00",000,"0,15%"
322,SGEN3,500,000,077,593760,"0,00%",493,-834,-3173,-201,-3242,"-1.871,17%","0,00%",65,"-1,59%","0,00%",000,"156.981.000,00",002,"-59,85%"
323,SGEN4,060,000,009,71251,"0,00%",59,-100,-381,-024,-450,"-1.871,17%","0,00%",65,"-1,59%","0,00%",000,"156.981.000,00",002,"-59,85%"
324,SLCP3,61002,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
325,TAEE11,2830,000,200,0000,"7,45%",912,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","39.566.300,00","4.884.020.000,00",000,"-4,12%"
326,TAEE3,945,000,200,0000,"6,03%",914,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","174.477,00","4.884.020.000,00",000,"-4,12%"
327,TAEE4,941,000,199,0000,"6,06%",910,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%","347.162,00","4.884.020.000,00",000,"-4,12%"
328,TNEP3,301,000,000,0000,"0,00%",0,000,000,000,-109,"20,92%","25,42%",239,"20,53%","22,80%",000,"955.105.000,00",006,"8,15%"
329,TNEP4,395,000,000,0000,"0,00%",0,000,000,000,-109,"20,92%","25,42%",239,"20,53%","22,80%",000,"955.105.000,00",006,"8,15%"
330,VGOR3,000,000,000,0000,"0,00%",0,000,000,000,677,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
331,VIVA3,2378,000,929,0000,"0,00%",4439,1420,000,8229,000,"0,00%","0,00%",219,"0,00%","0,00%","40.172.700,00","604.529.000,00",046,"0,00%"
332,VVAX3,000,000,000,0000,"0,00%",0,000,000,000,-444,"-7,36%","-37,76%",219,"-6,52%","-92,03%",000,"144.676.000,00",155,"0,00%"
333,VVAX4,000,000,000,0000,"0,00%",0,000,000,000,-444,"-7,36%","-37,76%",219,"-6,52%","-92,03%",000,"144.676.000,00",155,"0,00%"
334,ENER5,600,000,000,0000,"0,00%",0,000,000,-000,212,"18,54%","10,59%",154,"17,11%","33,77%",000,"849.627.000,00",202,"10,42%"
335,ENER3,1050,000,000,0000,"0,00%",0,000,000,-000,212,"18,54%","10,59%",154,"17,11%","33,77%",000,"849.627.000,00",202,"10,42%"
336,ENER6,1200,000,000,0000,"0,00%",0,000,000,-000,212,"18,54%","10,59%",154,"17,11%","33,77%",000,"849.627.000,00",202,"10,42%"
337,TEFC11,3550,000,000,0000,"0,00%",0,-000,000,-000,345,"23,54%","14,18%",61,"14,85%","46,72%",000,"45.856.000.000,00",295,"12,91%"
338,CAFE4,050,000,-000,0071,"0,00%",4,-000,-013,-000,-5349,"-53,07%","2.163,80%",2,"-2,81%","-64,17%",000,"-377.387.000,00",-098,"-11,30%"
339,SCAR4,1000,001,000,0002,"0,00%",0,000,000,-000,436,"60,77%","22,60%",292,"7,42%","4,70%",000,"1.475.840.000,00",083,"-6,49%"
340,MLPA12,4000,001,000,0001,"0,00%",2,000,001,000,-206,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
341,MLPA4,4500,001,000,0001,"0,00%",3,000,001,000,-206,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
342,SCLO4,041,001,-000,0438,"0,00%",20,-000,-023,-000,-1616,"-191,21%","3.444,05%",1,"-9,09%","-19,76%",000,"-159.162.000,00",-017,"1,58%"
343,CAFE3,200,002,-001,0283,"0,00%",15,-001,-053,-001,-5396,"-53,07%","2.163,80%",2,"-2,81%","-64,17%",000,"-377.387.000,00",-098,"-11,30%"
344,BSCT3,405,004,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","9,05%",000,"212.960.000,00",000,"1,92%"
345,SJOS4,009,005,-001,0000,"0,00%",245,000,-077,000,-1319,"0,00%","0,00%",0,"0,00%","-16,48%",000,"-152.035.000,00",000,"0,00%"
346,BPHA3,062,006,-024,-20054,"0,00%",995,-038,078,-020,143,"-2.581,69%","-33.652,50%",6,"401,01%","-402,50%",000,"-292.294.000,00",-026,"-53,39%"
347,BRSR4,18110,006,001,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","15,51%",000,"7.732.900.000,00",000,"11,96%"
348,TPRC6,10500,008,001,0015,"0,00%",7,-045,010,-002,011,"14,88%","19,34%",92,"7,48%","15,33%",000,"21.762.700.000,00",010,"-0,39%"
349,LREN4,10500,008,002,0009,"0,00%",8,005,004,-011,028,"21,56%","11,10%",149,"22,95%","24,01%",000,"4.273.030.000,00",040,"11,81%"
350,TPRC3,11350,008,001,0016,"0,00%",7,-049,011,-003,011,"14,88%","19,34%",92,"7,48%","15,33%",000,"21.762.700.000,00",010,"-0,39%"
351,CREM4,4800,011,001,0002,"0,00%",2,002,003,-002,209,"8,05%","2,10%",129,"11,36%","7,50%",000,"189.701.000,00",158,"-0,27%"
352,SULT4,043,014,002,0048,"0,00%",4,-024,-020,-000,-034,"-24,17%","34,17%",78,"-1,87%","14,08%",000,"273.282.000,00",002,"-1,06%"
