,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
874,RADL3,2605,10530,1031,2230,"0,50%",3299,1984,4629,-1750,4751,2233,"4,82%","2,18%",152,"9,20%","9,79%","162.538.000,00","4.173.490.000,00",042,"15,73%"
875,CTSA3,247,11027,097,0629,"1,23%",433,1464,922,-393,1702,1705,"6,82%","0,57%",107,"5,22%","0,88%","124.035,00","283.521.000,00",086,"7,43%"
876,ALPA4,3903,11201,796,7374,"0,14%",3771,1501,4608,3034,4546,3487,"16,00%","6,13%",164,"13,30%","7,11%","97.536.400,00","2.882.480.000,00",058,"-3,89%"
877,UGPA3,2022,11227,239,0276,"1,18%",616,258,1373,-250,2104,1198,"2,01%","0,28%",197,"6,68%","2,13%","167.997.000,00","9.424.330.000,00",218,"2,12%"
878,TMAR6,4201,11259,071,0519,"0,00%",181,149,404,-050,829,321,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
879,TMAR5,4267,11435,072,0527,"0,00%",184,151,410,-051,835,324,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
880,FLCL6,991,11565,6125,11283,"0,00%",11168,14305,6497,-2775,6711,6711,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
881,NETC3,3850,12310,212,1290,"0,00%",1074,-3302,1082,-296,1215,527,"11,93%","1,55%",80,"10,95%","1,72%",000,"6.812.390.000,00",028,"66,63%"
882,ROMI4,18500,12663,1685,16096,"0,00%",8316,3565,21331,11926,21736,13959,"7,55%","12,74%",168,"4,68%","13,31%",000,"805.029.000,00",056,"7,74%"
883,NETC4,4000,12789,220,1340,"0,00%",1116,-3431,1124,-308,1257,545,"11,93%","1,55%",80,"10,95%","1,72%",000,"6.812.390.000,00",028,"66,63%"
884,FLCL3,1150,13420,7108,13094,"0,00%",12959,16600,7540,-3221,7754,7754,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
885,ARZZ3,6549,14176,890,4141,"1,23%",3442,851,30411,2763,30593,5832,"1,36%","2,92%",221,"1,89%","6,28%","44.877.100,00","669.467.000,00",090,"6,59%"
886,FLCL5,1250,14587,7726,14232,"0,00%",14086,18044,8195,-3501,8409,8409,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
887,UGPA4,2710,15047,321,0370,"0,00%",825,345,1840,-335,2571,1464,"2,01%","0,28%",197,"6,68%","2,13%",000,"9.424.330.000,00",218,"2,12%"
888,TMAR3,6200,16616,104,0765,"0,00%",268,220,596,-074,1021,396,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
889,TELB3,7050,16827,301,18512,"0,00%",1131,470,-1778,-346,-1552,-6074,"-104,09%","11,00%",530,"-8,18%","1,79%","230.759,00","1.591.550.000,00",017,"42,35%"
890,VULC4,1800,19996,413,4043,"0,00%",2679,568,5532,867,5582,2789,"7,31%","2,02%",351,"6,18%","2,06%",000,"1.072.270.000,00",029,"3,02%"
891,JBSS3,2109,23589,156,0241,"2,62%",347,202,301,-093,593,432,"8,00%","0,18%",180,"15,57%","0,66%","398.770.000,00","36.011.800.000,00",214,"7,39%"
892,ELEV3,2430,31239,322,0688,"0,00%",954,575,3719,-518,5141,5141,"1,85%","0,27%",147,"3,01%","1,03%",000,"489.356.000,00",135,"3,69%"
893,PRBC4,1454,32225,4063,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","12,61%",000,"1.165.810.000,00",000,"12,27%"
894,RHDS4,100,36345,2950,4977,"0,00%",7182,-59356,6811,-2455,7132,5372,"7,31%","1,17%",97,"11,80%","8,12%",000,"272.045.000,00",149,"4,38%"
895,NORD3,687,37592,-033,28716,"0,00%",2676,-094,-7118,-029,-12920,-12920,"-40,34%","7,64%",2,"-3,85%","-0,09%","21.439,90","-139.667.000,00",-027,"74,97%"
896,ARTR3,1001,42157,090,1232,"0,00%",359,-1275,938,-070,2107,639,"13,14%","0,29%",76,"4,13%","0,21%",000,"6.427.780.000,00",128,"0,22%"
897,GUAR4,15100,45774,1536,11028,"0,00%",6232,4309,"1.167,39",-18507,"1.192,38",13424,"0,94%","2,41%",135,"0,67%","3,36%",000,"4.906.450.000,00",081,"5,46%"
898,LWSA3,6685,47498,1281,18568,"0,00%",6910,1836,18263,2761,17449,7814,"10,17%","3,91%",213,"7,07%","2,70%","98.953.600,00","657.061.000,00",026,"0,00%"
899,MGLU3,2558,48863,2254,6520,"0,12%",7621,4572,21358,"-2.020,41",21198,11645,"3,05%","1,33%",134,"6,08%","4,61%","1.125.180.000,00","7.376.610.000,00",023,"28,63%"
900,BIDI3,1842,57933,666,0000,"0,38%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","1,15%","6.826.480,00","2.115.160.000,00",000,"15,58%"
901,MOVI3,1890,58948,255,1345,"0,71%",730,94190,1126,-176,1561,842,"11,94%","0,23%",100,"10,59%","0,43%","52.097.900,00","2.217.260.000,00",172,"23,88%"
902,BIDI11,5650,59233,681,0000,"0,37%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","1,15%","55.728.800,00","2.115.160.000,00",000,"15,58%"
903,BIDI4,1893,59537,684,0000,"0,37%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","1,15%","36.611.600,00","2.115.160.000,00",000,"15,58%"
904,UBBR4,749,61027,199,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
905,SQIA3,2143,73320,349,7596,"0,00%",2473,501,-40156,790,-33273,6942,"-1,89%","1,06%",549,"-1,40%","0,48%","13.272.800,00","433.556.000,00",019,"23,90%"
906,UBBR11,1475,"1.201,81",391,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
907,UBBR3,1800,"1.466,61",477,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
908,PEAB3,5698,"1.821,38",154,1945,"4,34%",1159,367,6900,594,5940,5940,"2,82%","0,11%",355,"2,08%","0,08%","32.922,60","475.574.000,00",000,"7,12%"
909,PEAB4,6000,"1.917,91",162,2048,"4,53%",1221,387,7266,626,6306,6306,"2,82%","0,11%",355,"2,08%","0,08%","28.600,80","475.574.000,00",000,"7,12%"
910,APER3,3199,"3.600,44",205,3645,"0,17%",1247,1013,"-1.099,54",-995,-94311,4899,"-0,33%","0,10%",186,"-0,14%","0,06%","1.256.230,00","179.079.000,00",000,"-8,08%"
